address,size,name,status,module,notes
0x800129D8,0xA0,entrypoint,sdk_asm,psyq/crt,
0x80012A78,0x70,__main,sdk_asm,psyq/crt,
0x80012AE8,0x68,__do_global_dtors,sdk_asm,psyq/crt,
0x80012B50,0x184,Main_Init,unmatched_asm,game,"Build-integrated candidate in src/candidates/func_80012B50.c with target src/candidates_target/func_80012B50.S; profile gcc_2_8_1_g8_split. Reclassified from matching_c (#3859): the source was byte-exact only by pinning 1 variable to hard registers, so it does not stand as a decompilation. Previously: Exact post-terminal match; the boot path from the kernel callback reset to the frontend restart point. The D_8009B4A8 address is held in a local pinned to $a0 so it is materialised ahead of the volatile store block."
0x80012CD4,0x78,Main_VBlankCB,matching_c,game,"Exact post-terminal match from interrupt-shared volatility evidence: counters are volatile, reentrancy bytes are not."
0x80012D4C,0x38,func_80012D4C,matching_c,game,1 recorded attempt; exact full-executable SHA-256 match with gcc_2_8_1_g8.
0x80012D84,0x30,func_80012D84,matching_c,game,1 recorded attempt; exact full-executable SHA-256 match with gcc_2_8_1_g8.
0x80012DB4,0xA8,Graphics_SyncFrame,matching_c,game,"Synchronizes the current GPU/VBlank boundary and publishes the bounded frame-advance count. Exact 42/42 match: the ternary selection, non-volatile output byte, and local common definition of D_8009B0C1 preserve the retail delay slots and gp-relative load."
0x80012E5C,0x210,Graphics_BeginFrame,matching_c,game,"Selects the active graphics buffer, installs its work area, and rebuilds four ordering tables for the next frame. Exact 132/132 match: moving the loop decrements after func_80085DB0 preserves retail scheduling. The $2 pin on the base pointer that used to accompany it was re-measured for #3859 and is inert, so it was removed."
0x8001306C,0xE8,func_8001306C,matching_c,game,Unchiga pure-C structure independently reproduced; exact linked bytes and relocations with gcc_2_8_1_g8_split.
0x80013154,0x20C,func_80013154,unmatched_asm,game,"Build-integrated candidate in src/candidates/func_80013154.c with target src/candidates_target/func_80013154.S; profile gcc_2_8_1_g8_split. Reclassified from matching_c (#3859): the source was byte-exact only by pinning 1 variable to hard registers, so it does not stand as a decompilation. Previously: Graphics and input start-up called from Main_Init with the work area; matched post-terminal under the split profile with volatile init stores, a goto buffer loop, a signed bound compare and one pinned byte copy of the ordering-table count"
0x80013360,0x154,func_80013360,unmatched_asm,game,"Build-integrated candidate in src/candidates/func_80013360.c with target src/candidates_target/func_80013360.S; profile gcc_2_8_1_g8_split. Reclassified from matching_c (#3859): the source was byte-exact only by pinning 1 variable to hard registers, so it does not stand as a decompilation. Previously: Debug position adjuster: nudges the gGraphics_DispEnv coordinate pair with the d-pad, twice as fast with Cross, until Start is pressed"
0x800134B4,0x2C,func_800134B4,matching_c,game,Unchiga pure-C structure independently reproduced; exact linked bytes and relocations with gcc_2_8_1_g8_split.
0x800134E0,0x4C,func_800134E0,matching_c,game,Object vector offset update using GCC 2.8.1 -O2 -G8
0x8001352C,0xD0,func_8001352C,matching_c,game,Reference structure only; declarations and types independently recovered locally; exact linked bytes and relocations.
0x800135FC,0xD8,func_800135FC,matching_c,game,Reference structure only; declarations and types independently recovered locally; exact linked bytes and relocations.
0x800136D4,0x10,func_800136D4,matching_c,game,47 pre-policy variants: volatile nine-byte local reproduced the exact stack adjustment and empty return.
0x800136E4,0x100,File_SetPositionTable,matching_c,game,Exact pure-C match: header-owned data views keep D_80010038 and D_8009B10C absolute while D_8009B0E0 remains small under gcc_2_8_1_g8_split.
0x800137E4,0xB4,File_WaitForTransfers,matching_c,game,"Synchronously drains primary, secondary, and auxiliary file-transfer state while advancing the transfer and frame pumps; exact linked bytes and relocations."
