address,size,name,status,module,notes
0x801680B4,0x84,func_801680B4,matching_c,overlay/password,"Exact overlay match with gcc_2_8_1_g0_split. Allocates a sprite object, configures it through the eight-argument func_800404CC, sets flag 0x8 and returns it."
0x80168138,0x68,func_80168138,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. Builds a HUD element through func_80035BE4 and sets fields 0x5A and 0x5B on the returned object.
0x801681A0,0x24C,func_801681A0,matching_c,overlay/password,"Exact boundary from the verified overlay split. Draws the password screen's selection frame around the record pointed to by the first argument into the ordering table in the second. It builds two primitives in the PS1 scratchpad - a five-word three-vertex polyline at 0x1F800000 with code 0x48 and a four-word two-vertex line at 0x1F800040 with code 0x50 - and submits each through func_8005B260 eight times with priority from the record's s16 at +0x14 masked to 16 bits and otag 1. The record's geometry is x at +0x30 y at +0x32 width at +0x3C and height at +0x3E all halfwords. Four submissions draw corner brackets one per corner: the top left runs from x minus 1 and y plus 3 up to x minus 1 and y minus 1 then right to x plus 3; the other three mirror it about x plus width and y plus height. Four more draw lines from the frame out to the screen edges - up from the top centre to y zero down from the bottom centre to y 192 left from the left centre to x zero and right from the right centre to x 320 - which is the callout that ties the frame to whatever is off-screen. Both primitives take colour 0x0000FF00 written as one word at +4 before the length and code bytes overwrite +3 and +7 and the polyline takes a second colour word 0x55555555 at +0x14. Builds 150 instructions against 147. Lever found: the width and height locals must be unsigned. As s32 the halving for the two centre lines emits srav where the target has srlv - GCC cannot prove a value loaded with lhu into a signed local is non-negative. Measured and not helping: a u16 local for the x plus 3 corner value which the target spills with sw and reloads with lhu. What remains is three instructions of register pressure - the target keeps x in a callee-saved register and adds 2 in place for the last line while the build spills the sum through the stack. Reconstructed independently and three findings correct or sharpen the note above. First a semantic correction: the four callout lines are symmetric and all start two pixels inside the frame, so the bottom line begins at y plus height minus 2 rather than minus 1, matching the top at y plus 2, the left at x plus 2 and the right at x plus width minus 2. Second, the priority is not masked in the source at all. Writing pri equals the s16 at plus 0x14 and 0xFFFF folds the lh and the andi into a single lhu, which is why the mask looked like it belonged to the load; the target's lh followed by a distant andi is what a u16 third parameter on func_8005B260 produces, with the conversion done once at the first call site and reused. That alone took the candidate from 124 differing positions to 88. Third, the target updates two values in place rather than recomputing them: x plus equals 2 before the left line, and the bottom local minus equals 2 before the bottom line, where the bottom local already holds y plus height from the third corner. The residual is now exact and is three instructions in one place. The target keeps x in callee-saved s6 and spends one addiu s6 s6 2; the build spills x and spends lw, addiu, sw and lhu. The competing value is the x plus 3 corner, which the target parks in a stack slot with sw and reloads with lhu. Re-measured against this corrected shape and still inert: declaring the x plus 3 local u16 does not make GCC spill it, and spelling x plus 3 inline at both corners does not free the register either because GCC re-forms the common subexpression. So the open question is only which of the two values the allocator spills. Correction to the reading above, which created a false lead. The sw followed by lhu on the spilled x plus 3 corner is not a type tell and does not mean the source declares that value u16. Rebuilding this candidate and looking at its own output shows the identical idiom on the spilled x, which is a plain s32 local: sw to the slot, then lw when the value feeds arithmetic and lhu when it feeds a halfword store. The reload width follows the use, not the declaration, so the pair says nothing about the declared type and only says the value is in a stack slot. Both builds therefore spend the same idiom on whichever value loses the register; the whole residual is which one that is. By use count x should win as it does in the target - it feeds x minus 1, x plus 3, x plus width, the centre sum and x plus 2, five uses against the corner value's two. Measured against this shape and not helping: declaring the corner value u16, re-confirmed; and assigning x plus 2 to a separate local instead of updating x in place, which leaves both the count and the positions unchanged, so the in-place update is not what costs x its register. The residual is not a two-way contest between x and the x plus 3 corner, and reading it that way has been sending attempts at the wrong question. Read off the target directly: it uses all nine callee-saved registers and spills three values to the frame, not one. s0 and s1 hold the two scratchpad primitives, s8 the ordering table, s4 the priority already converted to 16 bits, s5 y, s6 x, s2 the width, s3 y plus height, and s7 x minus 1. The frame holds the height at 16(sp), stored immediately after it is loaded and before any call and reloaded twice, x plus 3 at 20(sp), and x plus width at 24(sp). So the target keeps x and spills three separate values, and the question is not which of two loses a register. Two asymmetries in that assignment are the actual leads. First, x minus 1 has its own callee-saved register: it is computed once at instruction 40 and read at both left corners, 43 and 44 for the top and 82 and 83 for the bottom, so the source names it as a local rather than recomputing it per corner. Any candidate that spells x minus 1 at each corner is competing for a different set of registers than the target and should not be expected to match. Second, the two dimensions are treated oppositely although they are written the same way: the width lives in s2 for the whole function while the height is spilled the moment it is loaded, and correspondingly y plus height keeps s3 while x plus width is spilled. So whatever distinguishes them is between the width and the height, not between x and its corner. Both of those are checkable against a rebuilt candidate and neither has been tried. Rebuilt from the corrected reading and it now builds 148 against 147, one over rather than three, with 139 differing positions. The shape that gets there writes only the fields that change at each submission rather than all six: the first corner sets both x fields to x minus 1, both upper y fields to y minus 1 and the lower to y plus 3 and the third x to x plus 3; the second changes only the three x fields to x plus width plus 1 and x plus width minus 3; the third changes only the three y fields against y plus height; and the fourth changes only the x fields back. The four callouts likewise touch only what moves. Both x and y are updated in place at the end, x plus equals 2 and y plus equals height over two, and the width local is overwritten by x plus width over two, which is why the width can share a register with that centre and the height cannot. The residual reframes again and the new reading is checkable. Side by side the target holds the priority, y, x, x minus 1 and the ordering table in s4 to s8 and spills the height, x plus 3 and x plus width; the candidate holds the priority, y, x plus 3, x minus 1 and the width, and spills x, the height and the ordering table. The candidate never gives the ordering table a register at all: it stores the incoming argument to the frame at instruction 20 and reloads it before every one of the eight calls, where the target copies it to s8 at instruction 3 and never touches memory. That is the root difference rather than the x contest, because a spilled ordering table frees exactly the register that then goes to x plus 3. So the question to answer next is why the second parameter loses its register, not which of x and its corner wins one. Re-measured against this corrected shape: spelling x plus 3 inline at both corners instead of naming it is byte-identical, so the recorded note that the compiler re-forms that common subexpression holds here too and that avenue stays closed. Correction to the previous entry: the spilled ordering table is not what costs the extra instruction. Each reload of it replaces one move from a callee-saved register one for one, eight sites either way, so the spill is count-neutral and only changes which registers hold what. The single extra instruction is x. The target updates it in place with one addiu s6 s6 2 before the left callout, while the candidate has x in a frame slot and spends lw, addiu and sw there. So the whole residual is that one update, and the question is only whether x holds a register at that point. Three things were measured against the rebuilt candidate and none of them moves it. Copying the ordering-table parameter into a local before the first call is coalesced away and gives byte-identical output. Writing the fourth corner's x as x minus 1 plus 4 rather than x plus 3, so that it derives from a value already in a register instead of forming the same common subexpression, is also byte-identical, which strengthens the recorded finding that this expression cannot be kept out of its own register by how it is spelled. Both candidates spill exactly three values, so this is a preference rather than a pressure problem. One further difference is real but count-neutral and worth recording so it is not mistaken for a lead: both halvings in the target are srlv against the register that holds the calls' fourth argument, the constant 1, where the candidate emits an immediate srl. The target is reusing the argument constant as the shift amount, which means that constant is a shared pseudo across the whole function rather than eight separate literals. Reconstructed from this note and stored in notes/overlays/candidates.md, re-verified from the stored copy, so continuing does not start with a rebuild. Triaging it by opcode multiset rather than by position count located the remaining work precisely and cheaply. The first build read 149 instructions, 131 differing positions and an opcode distance of 10, made up of two srl where the target has srlv, one missing andi, one missing lhu, and three extra lw with one extra sw. Declaring the third parameter of func_8005B260 as u16 rather than s32 supplies the missing andi, which confirms the recorded reading that the priority mask is a parameter conversion rather than a mask in the source; it takes the distance to 9 and the differing positions from 131 to 109, at the cost of one instruction, 150 against 149. The stored candidate is the u16 shape on the reasoning that the multiset is the better guide. What is left in the mix is two srl against the target's srlv, and the lhu with the lw and sw around the spilled x plus 3 corner. The srlv pair is the target shifting by the register that already holds the fourth argument's 1; naming a local for that 1 and passing it to all eight calls does not reproduce it, because the compiler folds the constant back into the shifts. Jump counts agree at zero for both, so block placement is not involved. Four axes are now closed against the opcode distance rather than against the position count, and the distance stays at 9 through all of them. The named local for the fourth argument's 1 is inert and has been removed from the stored candidate: passing a literal 1 and shifting by a literal 1 gives byte-identical output, so the local suggested a lever that is not there. That also means the earlier improvement came entirely from the u16 third parameter and not from the shift spelling. Declaring that local volatile is much worse, 154 instructions and distance 23. Assigning it immediately before each shift, and routing the shift through a second local copied from it, are both inert. Removing the x minus 1 local and spelling it inline is inert. Declaring the x plus 3 corner u16, and declaring both it and the right edge u16, are inert, which confirms the earlier recorded negative with a better instrument. On the profile axis gcc_2_8_1_g8_split, gcc_2_8_1_cc_g0_as_g8_split and gcc_2_8_1_g0_keep_large_ori are all identical to the default at distance 9, and only the scheduling variants move it, both for the worse at 28 and 18. So the remaining mix difference, two srl against srlv and the lhu with the lw and sw around the spill, is not reachable from the source spellings tried so far or from the profile. The srlv question is now understood rather than merely observed, and the note above is wrong on one point: it is not true that every spelling of the 1 folds. A plain local does fold and is inert, as recorded. A local read from a volatile does not fold and produces srlv twice, exactly the target's form, and a static or extern global does the same. So srlv is reachable; what is not reachable so far is reaching it for free. Measured: the literal builds 150 at distance 9 with srl twice; the volatile-sourced local builds 155 at distance 22 with srlv twice; a static or extern global builds 157 at distance 44 with srlv twice. Every spelling that buys the right shift form pays more elsewhere than the two positions it wins, so none of them should be adopted. What this establishes is the mechanism. srlv requires a shift amount the compiler cannot prove constant, so in the original source the 1 is a variable and not a literal. The disassembly supports that independently and more strongly than the shifts alone do: the target keeps 1 in a3 and uses it as a general operand, not only as the fourth argument of the four calls to 0x5B260 and as the shift amount at 92 and 117, but as an ordinary addend at 59, where it computes addu v0,t0,a3 rather than addiu v0,t0,1. A literal would never produce that. So the remaining work on this function is to find what that variable is in game terms - something whose value happens to be 1 and which the compiler cannot fold, rather than another way of writing the constant. Trying further spellings of a literal 1 is closed; three have now been measured and the two that work are both too expensive. The addition axis is measured and closed, and it was genuinely untried. This row and its predecessors varied the 1 at the call arguments and at the two shifts, but never at the four additions, even though the target's clearest evidence that the 1 lives in a register is an addition rather than a shift: addu v0,t0,a3 at index 59. All eight combinations of routing the additions, the arguments and the shifts through a single local assigned once at the top were built against every profile, 232 cells. Every one is equal to or worse than the literal baseline at distance 9, because the compiler folds the local at all three kinds of use. That strengthens rather than weakens the recorded conclusion: only a value the compiler cannot prove constant reaches srlv, and every such spelling costs more than the two positions it wins. The remaining opcode distance is now decoded rather than described, and the axis that looked most promising is closed with evidence. Against the stored candidate the class-level multiset difference is exactly: two srl where the target has srlv, three extra lw and one extra sw against one missing lhu. The second group is one extra live value - this build spills three values where the target spills two, keeping x+3 in s7 while the target spills it and reloads it twice as a halfword, which is where the lhu goes. The first group is the real blocker. The target shifts by a3, the register holding the fourth argument's 1, at both halvings. A register-form shift needs a non-constant count in the RTL, and an isolating probe settles where one can come from: of four small functions that pass 1 as a call argument and halve a value, only the one taking the count as a function parameter emits the register form; a literal, a local assigned 1, and a halving hoisted above the call all emit srl by immediate. Scaled up to this function the same holds - a local used as the fourth argument of all eight calls and as both shift counts, ten uses in total, is still folded to the immediate. The parameter route is closed separately by the call convention: func_801681A0 is not called directly but installed as a hook at obj+0x4C by NameEntry_Init, and the other matched hook at that slot, func_80016D04, takes exactly two arguments, so there is no third or fourth parameter to carry a count. Measured anyway and much worse: a third parameter builds 148 at distance 29 and a fourth builds the target's 147 but at distance 28, spilling thirteen extra loads. Also measured and inert or worse this pass: w and h as u32, s32, u16 and s16 in all sixteen combinations; the halving as a shift, a divide, inlined into the store, or through a named local; the halvings computed before the calls instead of after; x-1 and x+3 recomputed instead of cached, which is byte-identical because the compiler rediscovers them; x+w and y+h inlined instead of cached; and all twenty-nine profiles, where nothing beats gcc_2_8_1_g0_split's 150 at distance 9. The conclusion to carry forward is that the halving cannot be spelled as a shift by a compile-time 1 at all, so either the value being halved or the count reaches this function by a route the current reconstruction does not have. Matched with gcc_2_8_1_g0_split. Four findings, and the first one overturns the conclusion this row carried for several passes. The two halvings reach srlv from a compile-time 1 after all: inlining x + (w >> 1) into the two stores that use it, instead of assigning it to a local first, emits the register form, because the expression is then evaluated where the argument register already holds 1 and CSE substitutes it. Doing that at one halving takes the distance from 9 to 7 and at both takes it to 5, and no volatile, global or extra parameter is needed. The earlier reading that a register-form shift proves a non-constant count does not apply here, and the supporting evidence for it was also wrong: the candidate reproduces addu v0,t0,a3 with a plain literal, because GCC reuses the argument register it has just loaded, so that instruction never showed the 1 was a variable. Second, the dimension types are a false lead that nearly became a wrong conclusion. Declaring the height u16 reaches the target's 147 instructions and looks decisive, but it carries an andi the target does not have, and once the load order below is right the original u32 for both width and height is correct and the u16 is worse. The matched source declares w and h exactly as the candidate always did. Third, the order of the five field loads decides which value the allocator spills. Sweeping all 120 permutations against the corrected shape reaches an exact instruction mix, and the winning order is pri, x, y, w, h. Fourth, the residual after that is statement order inside the blocks: the six stores of the first corner, 720 permutations, and the four stores of each centre line, 576 permutations for the pair. Nothing was found by sweeping an axis alone. Every one of the four had been measured before on an earlier base and recorded as inert or worse, and each became decisive only once an earlier one was in place; the final match came out of a 2880-cell product of the load order against the last block's store order, where the best load order alone and the best store order alone were both different from the pair that matches."
0x801683EC,0x2A0,NameEntry_Init,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. Builds the password screen's background layer. It starts the 0x7010 track through func_8003FF08 resets the display through func_800403F0 clears the three state bytes at D_8016D400 D_8016D403 and D_8016D408 and publishes gSaveData_aPlayerNameSjis into D_8016D418 before loading it with func_8003BC40 from D_801B125A with six entries. It then places two backdrop sprites through func_8003B6AC and func_80035BE4 - one at 254 by 112 sized 204 by 96 with palette 16 and one at 243 by 262 sized 60 by 100 - and registers each with func_80039A14; the first also writes 16 into the two bytes at D_800EB0F8 plus 390 and 391 and registers the object 300 bytes into that block. func_80168138 is called with 2 and the same 2 is stored into D_8016D4D0. After clearing four more state bytes it creates the cursor object as type 6 at 22 by 24 with extents 16 kept in D_8016D404 with func_801681A0 hung off +0x4C as its draw hook - that is the frame drawer mapped separately - then a type 1 sprite at 107 by 199 sized 32 by 32 with 13 in both halfwords at +0x48 and bit 0x40000000 in its flags kept in D_8016D43C and finally a type 3 full-screen quad at 320 by 240 with colour 0x404040 and bit 0x01000000 published through func_8004293C. It ends by writing 244 to D_8016D4D2 and calling func_80015A00. Two levers: the second backdrop sprite must be its own local because reusing the object variable keeps it alive in a callee-saved register across the following call; and D_8016D4D0 takes the literal 2 rather than the return value of func_80168138 - the target copies the argument register into v0 for the store which only happens when the same constant is used twice.
0x8016868C,0x7C,TextBox_GetGlyphAt,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. Searches the node list at entry+0x24 of the 100-byte record for a node whose x at +0xC and y at +0xE match the arguments; the walk stops when bit 0x80 of the byte at +0x11 is clear and returns the node or zero. Nodes are 0x1C bytes. Three levers: the table base goes in its own local because writing base + index * 100 + 0x24 folds 0x24 into the %lo; the loop is for(;;) with explicit returns because while (flags & 0x80) lets GCC peel the first test and rotate; and the flags exit returns inline rather than breaking to a shared trailing return which costs the exiting branch its delay slot. The induction-variable blocker recorded earlier was a symptom of the rotation rather than a separate problem: the peeled load gave GCC +0x11 to build the combined giv from instead of the target's +0xE and the negative offsets followed from that.
0x80168708,0x100,func_80168708,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. A twelve frame squash on the object at +0x4C. While func_80042B98 reports zero it saves that object's +0xC into +0x5A writes 0x400 there resets +0x60 and clears bit 0x08000000 at +0x4. Each frame it writes 0x1000 - step * 341 to both +0x46 and +0x44 where step counts up to 5 then mirrors as 0xB - step so the scale dips and returns; on frame 12 it releases the object and restores +0xC. Two levers and neither is about delay slots: the step is s32 rather than s16 because assigning the mirror back into an s16 forces a sll sra pair the target does not have; and the value tested against 12 and the step are separate locals which is what the redundant move a0 v1 in the delay slot of that test is. The earlier note recorded the residual as the target leaving three branch and load delay slots empty around the final bounds test while the build fills them; those slots fill or empty as a consequence and are not reachable directly.
0x80168808,0xA4,func_80168808,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. Per-frame step for one object. On the first frame it sets bit 0x80 at +0x6C and seeds a random velocity: func_800358FC(0x200) - 0x100 at +0x36 and the negation of func_800358FC(0x180) at +0x38. Every frame it advances +0x36 through func_80042B08 with 8 and +0x38 through func_80042AD8 with 0x800 and 0x40; calls func_80042A78; then releases the object once +0x32 reaches 0xF0.
0x801688AC,0x108,func_801688AC,matching_c,overlay/password,"Exact overlay match with gcc_2_8_1_g0_split. Shatters its object into a four by four grid of four pixel fragments. Each fragment takes its own slice of the source image by adding the same dx and dy to both the screen position at +0x30/+0x32 and the texture origin at +0x5C/+0x5D, keeps the palette at +0x66 and the pair at +0x40/+0x42, is put in state 3 and is given func_80168808 as its per-frame callback so it falls away. When func_80042B98 reports non-zero it releases the object instead."
0x801689B4,0x100,NameEntry_UpdateCaretTween,matching_c,overlay/password,Exact overlay match with gcc_2_8_1_g0_split. The per-frame tween NameEntry_AdjustLength installs at +0x24. On the first frame it sets bit 0x80 at +0x6C and divides the distance from +0x30/+0x32 to the target at +0x44/+0x46 by the +0x60 frame count in 8.8 fixed point storing the steps at +0x36/+0x38. Every frame it advances through func_80042A78 and decrements +0x60; on reaching zero it clears the callback and the flags and snaps the position to the target with one 32-bit copy that moves both coordinates at once.
0x80168AB4,0x228,func_80168AB4,matching_c,overlay/password,"Exact boundary from the verified overlay split. Password widget slide, the same 8.8 fixed point shape as FreeDuel_UpdateCursorTween. Bit 0x80 of the state byte at +0x6C marks the slide already primed: the first pass sets it calls func_800429D8 and divides the distance from the current pair at +0x30 and +0x32 to the target pair at +0x44 and +0x46 shifted left 8 by the frame count at +0x60 into the per-frame steps at +0x36 and +0x38. Bit 0x40 means the widget is retiring - each frame decrements +0x60 and at zero or below releases it through func_8004036C. Otherwise it advances through func_80042A78 and decrements +0x60; while that stays positive it spawns a trail sprite through func_8004002C and func_800400AC with func_80040510 at the widget's current position size 16 by 16 using the bytes at +0x5C +0x5D and +0x66 and the halfwords at +0x40 and +0x42 then sets its colour word to 0x606060 its timer to 6 its hook to func_80042BC0 and or-s 0x50000000 into its flags. At zero it sets bit 0x40 snaps the position pair to the target as one 32-bit word rearms +0x60 to 2 and asks TextBox_GetGlyphAt for node 3 at D_8016D42C shifted left 4; a non-null node is handed to func_80168CDC with 3 and the result gets hook func_801688AC and state 5. Matched with gcc_2_8_1_g0_split. The rearm of +0x60 to 2 is written inside the third argument of the TextBox_GetGlyphAt call rather than as the statement before it. Everything else was already exact: 138 of 138 instructions at opcode distance 0, the entire residual a rotation of the closing block, with the target opening it on the move of zero into a2 and closing on the store of 2 while the build did the reverse and the seven instructions between them agreed. About 10,800 cells were measured against that rotation before it fell - every order of the three snap stores, every combination of splitting the three read-modify-writes, volatile and aliased-pointer spellings of the store, naming each argument in a local, every declaration order of the locals, and all twenty-nine profiles - and every one returned the same ten positions. They had to. A statement is emitted ahead of every argument, so no statement-level spelling changes where the store sits relative to the argument setup, and that position is the only thing deciding the rotation: the store and the zero for a2 are both ready at the same point with the same priority, so the scheduler breaks the tie on emission order. Carried inside the third argument the store is emitted after a1 is computed, its two instructions fall to the end of the block, and the move of zero into a2 takes the head. The wider lesson is that this note previously concluded the residual was not reachable from source and that the function should be left alone. That verdict was wrong, and it was wrong in a specific way worth remembering: a very large negative result measures the axes you thought of, and the count of cells says nothing about the ones you did not. Also checked and not applicable: the symbol-versus-literal address distinction worth five on func_80169734, since this function forms no addresses from integer casts."
